component,instrument,sub,rows,valid,first_ist,last_ist,bars,bars15,bars1h,bars_compared,mismatches,strategy,fill_id,bar_ist,bar_tf,side,qty,kind,reason,entry P&L-input(driver),price_saved,price_model,orders,fills,closed_trades,open_positions,entry_price,exit_price,multiplier,exit_reason,gross_expected,gross_saved,charges_expected,charges_saved,net_expected,net_saved,acct_realized,sum_own_nets,entry_day,exit_day,nights
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,d411269f,08-28 19:45,15m,SELL,1.0,entry,,entry,158014.0,158014.0,,,,,,,,,,,,,,,,,,,
storage,GOLDM,db+analytics integrity,,PASS,,,,,,,,,,,,,,,,,,,44.0,44.0,21.0,2.0,,,,,,,,,,,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,LONG,1.0,,,,,,,,,,162012.0,161889.0,10.0,stop_loss_hit,-1230.0,-1230.0,312.28,312.28,-1542.28,-1542.28,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,LONG,1.0,,,,,,,,,,162000.0,161926.0,10.0,stop_loss_hit,-740.0,-740.0,312.33,312.33,-1052.33,-1052.33,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_02,,,,LONG,1.0,,,,,,,,,,162068.0,161814.0,10.0,short_reversal,-2540.0,-2540.0,312.2,312.2,-2852.2,-2852.2,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,SHORT,1.0,,,,,,,,,,162340.0,162426.0,10.0,long_reversal,-860.0,-860.0,313.01,313.01,-1173.01,-1173.01,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_02,,,,SHORT,1.0,,,,,,,,,,162300.0,162452.0,10.0,long_reversal,-1520.0,-1520.0,312.97,312.97,-1832.97,-1832.97,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,LONG,1.0,,,,,,,,,,162440.0,162081.0,10.0,stop_loss_hit,-3590.0,-3590.0,312.67,312.67,-3902.67,-3902.67,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,LONG,1.0,,,,,,,,,,162046.0,161650.0,10.0,short_reversal,-3960.0,-3960.0,311.98,311.98,-4271.98,-4271.98,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,SHORT,1.0,,,,,,,,,,161650.0,161870.0,10.0,stop_loss_hit,-2200.0,-2200.0,311.92,311.92,-2511.92,-2511.92,,,,,
