instrument,strategy,fast_tf,bar_start_ist,crossing_side,result,engine,reference
GOLDM,gold_01,5m,2026-08-26 11:45:00,SHORT,MATCH,pC=161750.0|pH=161684.22209637234|h=161684.22209637234|pM=161726.51382118944|m=161726.51382118944|f=161695.220732991,pC=161750.0|pH=161684.22209637234|h=161684.22209637234|pM=161726.51382118944|m=161726.51382118944|f=161695.220732991
GOLDM,gold_01,5m,2026-08-26 17:45:00,LONG,MATCH,pC=161310.0|pH=161384.68318243927|h=161384.68318243927|pM=161103.64474380476|m=161103.64474380476|f=161249.41427168573,pC=161310.0|pH=161384.68318243927|h=161384.68318243927|pM=161103.64474380476|m=161103.64474380476|f=161249.41427168573
GOLDM,gold_01,5m,2026-08-26 17:55:00,LONG,MATCH,pC=161360.0|pH=161384.68318243927|h=161384.68318243927|pM=161103.64474380476|m=161199.4840269661|f=161282.37829428577,pC=161360.0|pH=161384.68318243927|h=161384.68318243927|pM=161103.64474380476|m=161199.4840269661|f=161282.37829428577
GOLDM,gold_01,5m,2026-08-27 09:00:00,LONG,MATCH,pC=158070.0|pH=160006.9044205929|h=159082.9924359771|pM=158745.08767842234|m=158745.08767842234|f=158388.6921312518,pC=158070.0|pH=160006.9044205929|h=159082.9924359771|pM=158745.08767842234|m=158745.08767842234|f=158388.6921312518
GOLDM,gold_01,5m,2026-08-27 09:30:00,LONG,MATCH,pC=158888.0|pH=159082.9924359771|h=159082.9924359771|pM=158745.08767842234|m=158745.08767842234|f=158945.03586117717,pC=158888.0|pH=159082.9924359771|h=159082.9924359771|pM=158745.08767842234|m=158745.08767842234|f=158945.03586117717
GOLDM,gold_01,5m,2026-08-27 10:25:00,LONG,MATCH,pC=157817.0|pH=158468.9559012342|h=158468.9559012342|pM=157934.08099412167|m=157934.08099412167|f=157674.78559819757,pC=157817.0|pH=158468.9559012342|h=158468.9559012342|pM=157934.08099412167|m=157934.08099412167|f=157674.78559819757
GOLDM,gold_01,5m,2026-08-27 21:10:00,LONG,MATCH,pC=157978.0|pH=158194.90474363664|h=158194.90474363664|pM=157501.46208766557|m=157642.78667324147|f=157947.6016867848,pC=157978.0|pH=158194.90474363664|h=158194.90474363664|pM=157501.46208766557|m=157642.78667324147|f=157947.6016867848
GOLDM,gold_01,5m,2026-08-27 22:45:00,SHORT,MATCH,pC=158266.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158382.19678792424,pC=158266.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158382.19678792424
GOLDM,gold_01,5m,2026-08-27 22:55:00,SHORT,MATCH,pC=158245.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158382.19678792424,pC=158245.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158382.19678792424
GOLDM,gold_01,5m,2026-08-27 23:15:00,SHORT,MATCH,pC=158332.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158302.61758228345,pC=158332.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158302.61758228345
