instrument,bucket_start,open,high,low,close,live_fast15,live_h1,live_h1_prev,live_mid15,strat_prev_htf,strat_store_htf,strat_prev_close,bars_processed,prev_close,state,pos_side,pending_side,pending_trig,stop,stop_flt
SILVERM,2026-08-24 11:15,254058.0,254458.0,254000.0,254423.0,254887.81597222222,254565.0,254565.0,254887.81597222222,254565.0,254565.0,254423.0,5,254058.0,short_position,SHORT,,,254942.0,[]
GOLDM,2026-08-24 11:30,162000.0,162462.0,161958.0,162457.0,161878.25522172925,161935.0,161935.0,161878.25522172925,161935.0,161935.0,162457.0,6,161986.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 11:30,254413.0,255500.0,254342.0,255499.0,254887.81597222222,254565.0,254565.0,254887.81597222222,254565.0,254565.0,255499.0,6,254423.0,flat,,,,,"[""POSITION_CLOSED:::stop_loss_hit""]"
GOLDM,2026-08-24 11:45,162455.0,162599.0,162232.0,162250.0,161878.25522172925,161935.0,161935.0,161878.25522172925,161935.0,161935.0,162250.0,7,162457.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 11:45,255499.0,256149.0,255116.0,255185.0,254887.81597222222,254565.0,254565.0,254887.81597222222,254565.0,254565.0,255185.0,7,255499.0,flat,,,,,[]
GOLDM,2026-08-24 12:00,162256.0,162550.0,162256.0,162283.0,161887.23439334496,161935.0,161935.0,161887.23439334496,161935.0,161935.0,162283.0,8,162250.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 12:00,255186.0,255689.0,255178.0,255250.0,254887.81597222222,254565.0,254565.0,254887.81597222222,254565.0,254565.0,255250.0,8,255185.0,flat,,,,,[]
GOLDM,2026-08-24 12:15,162305.0,162488.0,162300.0,162469.0,162057.30903628358,161935.0,161935.0,162057.30903628358,161935.0,161935.0,162469.0,9,162283.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 12:15,255386.0,255559.0,255195.0,255546.0,254887.81597222222,254565.0,254565.0,254887.81597222222,254565.0,254565.0,255546.0,9,255250.0,flat,,,,,[]
GOLDM,2026-08-24 12:30,162490.0,162500.0,162334.0,162400.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162400.0,10,162469.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 12:30,255507.0,255806.0,255336.0,255550.0,254939.1684996563,254565.0,254565.0,254939.1684996563,254565.0,254565.0,255550.0,10,255546.0,flat,,,,,[]
GOLDM,2026-08-24 12:45,162448.0,162450.0,162281.0,162312.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162312.0,11,162400.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 12:45,255692.0,255799.0,255262.0,255378.0,254939.1684996563,254565.0,254565.0,254939.1684996563,254565.0,254565.0,255378.0,11,255550.0,flat,,,,,[]
GOLDM,2026-08-24 13:00,162309.0,162445.0,162060.0,162060.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162060.0,12,162312.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 13:00,255375.0,255582.0,255000.0,255016.0,254939.1684996563,254565.0,254565.0,254939.1684996563,254565.0,254565.0,255016.0,12,255378.0,flat,,,,,[]
GOLDM,2026-08-24 13:15,162085.0,162290.0,161929.0,162196.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162196.0,13,162060.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 13:15,254946.0,255100.0,254800.0,254900.0,254939.1684996563,254565.0,254565.0,254939.1684996563,254565.0,254565.0,254900.0,13,255016.0,flat,,,,,[]
GOLDM,2026-08-24 13:30,162220.0,162312.0,161945.0,162012.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162012.0,14,162196.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 13:30,254864.0,255159.0,254451.0,254461.0,254939.1684996563,254565.0,254565.0,254939.1684996563,254565.0,254565.0,254461.0,14,254900.0,pending_short,,SHORT,254451.0,,"[""PENDING_ENTRY_CREATED:SHORT::""]"
GOLDM,2026-08-24 13:45,162012.0,162050.0,161800.0,161850.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,161850.0,15,162012.0,exit_order_submitted,LONG,SHORT,161800.0,161771.0,"[""POSITION_CLOSED:::short_reversal"", ""REVERSAL_SIGNAL:SHORT::""]"
SILVERM,2026-08-24 13:45,254461.0,254696.0,254161.0,254300.0,254892.8314976994,254565.0,254565.0,254892.8314976994,254565.0,254565.0,254300.0,15,254461.0,short_position,SHORT,,,255159.0,"[""ENTRY_EXECUTED:SHORT:254451.0:""]"
GOLDM,2026-08-24 14:00,161814.0,162191.0,161806.0,162185.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162185.0,16,161850.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 14:00,254286.0,254935.0,254229.0,254767.0,254892.8314976994,254565.0,254565.0,254892.8314976994,254565.0,254565.0,254767.0,16,254300.0,short_position,SHORT,,,255159.0,[]
GOLDM,2026-08-24 14:15,162194.0,162199.0,162024.0,162031.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162031.0,17,162185.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 14:15,254871.0,254900.0,254350.0,254418.0,254892.8314976994,254565.0,254565.0,254892.8314976994,254565.0,254565.0,254418.0,17,254767.0,short_position,SHORT,,,255159.0,[]
GOLDM,2026-08-24 14:30,162032.0,162191.0,162032.0,162100.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162100.0,18,162031.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 14:30,254323.0,254890.0,254323.0,254540.0,254892.8314976994,254565.0,254565.0,254892.8314976994,254565.0,254565.0,254540.0,18,254418.0,short_position,SHORT,,,255159.0,[]
GOLDM,2026-08-24 14:45,162100.0,162101.0,161950.0,161990.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,161990.0,19,162100.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 14:45,254516.0,254596.0,254206.0,254225.0,254839.0883205351,254565.0,254565.0,254839.0883205351,254565.0,254565.0,254225.0,19,254540.0,short_position,SHORT,,,255159.0,[]
GOLDM,2026-08-24 15:00,161990.0,162100.0,161955.0,162051.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162051.0,20,161990.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 15:00,254225.0,254400.0,254000.0,254263.0,254773.5841276792,254565.0,254565.0,254773.5841276792,254565.0,254565.0,254263.0,20,254225.0,short_position,SHORT,,,255159.0,[]
GOLDM,2026-08-24 15:15,162089.0,162256.0,162071.0,162245.0,162082.4197921992,161935.0,161935.0,162082.4197921992,161935.0,161935.0,162245.0,21,162051.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 15:15,254306.0,254495.0,254150.0,254325.0,254773.5841276792,254565.0,254565.0,254773.5841276792,254565.0,254565.0,254325.0,21,254263.0,short_position,SHORT,,,255159.0,[]
GOLDM,2026-08-24 15:30,162275.0,162358.0,162246.0,162346.0,162104.04149858624,161935.0,161935.0,162104.04149858624,161935.0,161935.0,162346.0,22,162245.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 15:30,254332.0,255125.0,254332.0,255058.0,254773.5841276792,254565.0,254565.0,254773.5841276792,254565.0,254565.0,255058.0,22,254325.0,short_position,SHORT,,,255159.0,[]
GOLDM,2026-08-24 15:45,162304.0,162343.0,162161.0,162248.0,162104.04149858624,161935.0,161935.0,162104.04149858624,161935.0,161935.0,162248.0,23,162346.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 15:45,255108.0,255137.0,254958.0,255080.0,254773.5841276792,254565.0,254565.0,254773.5841276792,254565.0,254565.0,255080.0,23,255058.0,short_position,SHORT,,,255159.0,[]
GOLDM,2026-08-24 16:00,162220.0,162375.0,162220.0,162237.0,162104.04149858624,161935.0,161935.0,162104.04149858624,161935.0,161935.0,162237.0,24,162248.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 16:00,255080.0,255341.0,254853.0,254853.0,254773.5841276792,254565.0,254565.0,254773.5841276792,254565.0,254565.0,254853.0,24,255080.0,flat,,,,,"[""POSITION_CLOSED:::stop_loss_hit""]"
GOLDM,2026-08-24 16:15,162251.0,162298.0,162150.0,162182.0,162104.04149858624,161935.0,161935.0,162104.04149858624,161935.0,161935.0,162182.0,25,162237.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 16:15,254853.0,255018.0,254678.0,254800.0,254773.5841276792,254565.0,254565.0,254773.5841276792,254565.0,254565.0,254800.0,25,254853.0,flat,,,,,[]
GOLDM,2026-08-24 16:30,162150.0,162280.0,162109.0,162162.0,162104.04149858624,161935.0,161935.0,162104.04149858624,161935.0,161935.0,162162.0,26,162182.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 16:30,254826.0,254900.0,254540.0,254721.0,254773.5841276792,254565.0,254565.0,254773.5841276792,254565.0,254565.0,254721.0,26,254800.0,flat,,,,,[]
GOLDM,2026-08-24 16:45,162162.0,162299.0,162162.0,162287.0,162104.04149858624,161935.0,161935.0,162104.04149858624,161935.0,161935.0,162287.0,27,162162.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 16:45,254721.0,255060.0,254721.0,254990.0,254773.5841276792,254565.0,254565.0,254773.5841276792,254565.0,254565.0,254990.0,27,254721.0,flat,,,,,[]
GOLDM,2026-08-24 17:00,162292.0,162700.0,162175.0,162614.0,162290.74167901685,161935.0,161935.0,162290.74167901685,161935.0,161935.0,162614.0,28,162287.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 17:00,254990.0,255994.0,254803.0,255800.0,255038.13424131105,254565.0,254565.0,255038.13424131105,254565.0,254565.0,255800.0,28,254990.0,flat,,,,,[]
GOLDM,2026-08-24 17:15,162614.0,162648.0,162376.0,162525.0,162308.22787826284,161935.0,161935.0,162308.22787826284,161935.0,161935.0,162525.0,29,162614.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 17:15,255760.0,255945.0,255533.0,255744.0,255237.84336579306,254565.0,254565.0,255237.84336579306,254565.0,254565.0,255744.0,29,255800.0,flat,,,,,[]
GOLDM,2026-08-24 17:30,162540.0,162607.0,162402.0,162575.0,162351.28501590237,161935.0,161935.0,162351.28501590237,161935.0,161935.0,162575.0,30,162525.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 17:30,255827.0,255850.0,255605.0,255819.0,255379.480954358,254565.0,254565.0,255379.480954358,254565.0,254565.0,255819.0,30,255744.0,flat,,,,,[]
GOLDM,2026-08-24 17:45,162555.0,162697.0,162493.0,162697.0,162454.1385108315,161935.0,161935.0,162454.1385108315,161935.0,161935.0,162697.0,31,162575.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 17:45,255789.0,255942.0,255702.0,255900.0,255493.28773698703,254565.0,254565.0,255493.28773698703,254565.0,254565.0,255900.0,31,255819.0,flat,,,,,[]
GOLDM,2026-08-24 18:00,162688.0,162868.0,162461.0,162709.0,162461.0759772682,161935.0,161935.0,162461.0759772682,161935.0,161935.0,162709.0,32,162697.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 18:00,255900.0,256225.0,255350.0,255800.0,255493.28773698703,254565.0,254565.0,255493.28773698703,254565.0,254565.0,255800.0,32,255900.0,flat,,,,,[]
GOLDM,2026-08-24 18:15,162703.0,162870.0,162622.0,162804.0,162540.2986165706,161935.0,161935.0,162540.2986165706,161935.0,161935.0,162804.0,33,162709.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 18:15,255780.0,256100.0,255635.0,255920.0,255493.28773698703,254565.0,254565.0,255493.28773698703,254565.0,254565.0,255920.0,33,255800.0,flat,,,,,[]
GOLDM,2026-08-24 18:30,162842.0,163394.0,162801.0,163300.0,162877.11901142882,161935.0,161935.0,162877.11901142882,161935.0,161935.0,163300.0,34,162804.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 18:30,256000.0,257400.0,255950.0,257297.0,256302.67279080916,254565.0,254565.0,256302.67279080916,254565.0,254565.0,257297.0,34,255920.0,flat,,,,,[]
GOLDM,2026-08-24 18:45,163305.0,163355.0,163082.0,163207.0,162939.53551493215,162366.60978089634,161935.0,162939.53551493215,161935.0,162366.60978089634,163207.0,35,163300.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 18:45,257300.0,257350.0,256700.0,257048.0,256461.70930959404,255470.5287864905,254565.0,256461.70930959404,254565.0,255470.5287864905,257048.0,35,257297.0,flat,,,,,[]
GOLDM,2026-08-24 19:00,163185.0,163350.0,162934.0,162958.0,162939.53551493215,162366.60978089634,161935.0,162939.53551493215,162366.60978089634,162366.60978089634,162958.0,36,163207.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 19:00,256900.0,257247.0,255397.0,255436.0,256461.70930959404,255470.5287864905,254565.0,256461.70930959404,255470.5287864905,255470.5287864905,255436.0,36,257048.0,pending_short,,SHORT,255397.0,,"[""PENDING_ENTRY_CREATED:SHORT::""]"
GOLDM,2026-08-24 19:15,162947.0,163333.0,162849.0,163030.0,162939.53551493215,162366.60978089634,161935.0,162939.53551493215,162366.60978089634,162366.60978089634,163030.0,37,162958.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 19:15,255421.0,256303.0,255259.0,255752.0,256461.70930959404,255470.5287864905,254565.0,256461.70930959404,255470.5287864905,255470.5287864905,255752.0,37,255436.0,short_position,SHORT,,,257350.0,"[""ENTRY_EXECUTED:SHORT:255397.0:""]"
GOLDM,2026-08-24 19:30,163030.0,163200.0,162921.0,163094.0,162939.53551493215,162366.60978089634,161935.0,162939.53551493215,162366.60978089634,162366.60978089634,163094.0,38,163030.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 19:30,255728.0,256200.0,255586.0,255864.0,256461.70930959404,255470.5287864905,254565.0,256461.70930959404,255470.5287864905,255470.5287864905,255864.0,38,255752.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 19:45,163085.0,163243.0,162850.0,163145.0,162939.53551493215,162508.39503225737,162366.60978089634,162939.53551493215,162366.60978089634,162508.39503225737,163145.0,39,163094.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 19:45,255869.0,255938.0,254600.0,255877.0,256461.70930959404,255470.5287864905,255470.5287864905,256461.70930959404,255470.5287864905,255470.5287864905,255877.0,39,255864.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 20:00,163148.0,163330.0,163102.0,163200.0,162939.53551493215,162508.39503225737,162366.60978089634,162939.53551493215,162508.39503225737,162508.39503225737,163200.0,40,163145.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 20:00,255888.0,256149.0,255421.0,255590.0,256461.70930959404,255470.5287864905,255470.5287864905,256461.70930959404,255470.5287864905,255470.5287864905,255590.0,40,255877.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 20:15,163200.0,163274.0,162901.0,163150.0,162939.53551493215,162508.39503225737,162366.60978089634,162939.53551493215,162508.39503225737,162508.39503225737,163150.0,41,163200.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 20:15,255698.0,255770.0,255040.0,255550.0,256412.16475761737,255470.5287864905,255470.5287864905,256412.16475761737,255470.5287864905,255470.5287864905,255550.0,41,255590.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 20:30,163153.0,163267.0,163054.0,163200.0,162939.53551493215,162508.39503225737,162366.60978089634,162939.53551493215,162508.39503225737,162508.39503225737,163200.0,42,163150.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 20:30,255550.0,255887.0,255389.0,255635.0,256393.35614411364,255470.5287864905,255470.5287864905,256393.35614411364,255470.5287864905,255470.5287864905,255635.0,42,255550.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 20:45,163200.0,163310.0,163132.0,163277.0,162970.0395116458,162663.50228925093,162508.39503225737,162970.0395116458,162508.39503225737,162663.50228925093,163277.0,43,163200.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 20:45,255765.0,255993.0,255619.0,255900.0,256393.35614411364,255470.5287864905,255470.5287864905,256393.35614411364,255470.5287864905,255470.5287864905,255900.0,43,255635.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 21:00,163262.0,163299.0,162900.0,162928.0,162970.0395116458,162663.50228925093,162508.39503225737,162970.0395116458,162663.50228925093,162663.50228925093,162928.0,44,163277.0,pending_short,,SHORT,161800.0,,[]
SILVERM,2026-08-24 21:00,255759.0,256000.0,255190.0,255291.0,256176.8010353149,255470.5287864905,255470.5287864905,256176.8010353149,255470.5287864905,255470.5287864905,255291.0,44,255900.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 21:15,162890.0,162925.0,162131.0,162376.0,162914.4932633848,162663.50228925093,162508.39503225737,162914.4932633848,162663.50228925093,162663.50228925093,162376.0,45,162928.0,pending_short,,SHORT,162131.0,,"[""PENDING_ENTRY_CREATED:SHORT::""]"
SILVERM,2026-08-24 21:15,255238.0,255299.0,254015.0,254240.0,255348.67990067002,255470.5287864905,255470.5287864905,255348.67990067002,255470.5287864905,255470.5287864905,254240.0,45,255291.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 21:30,162390.0,162879.0,162338.0,162712.0,162914.4932633848,162663.50228925093,162508.39503225737,162914.4932633848,162663.50228925093,162663.50228925093,162712.0,46,162376.0,pending_short,,SHORT,162131.0,,[]
SILVERM,2026-08-24 21:30,254161.0,255000.0,254111.0,254406.0,255184.44527209192,255470.5287864905,255470.5287864905,255184.44527209192,255470.5287864905,255470.5287864905,254406.0,46,254240.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 21:45,162720.0,162815.0,162650.0,162767.0,162914.4932633848,162663.50228925093,162663.50228925093,162914.4932633848,162663.50228925093,162663.50228925093,162767.0,47,162712.0,pending_short,,SHORT,162131.0,,[]
SILVERM,2026-08-24 21:45,254350.0,254980.0,254299.0,254901.0,255184.44527209192,255470.5287864905,255470.5287864905,255184.44527209192,255470.5287864905,255470.5287864905,254901.0,47,254406.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 22:00,162765.0,162840.0,162725.0,162735.0,162914.4932633848,162663.50228925093,162663.50228925093,162914.4932633848,162663.50228925093,162663.50228925093,162735.0,48,162767.0,pending_short,,SHORT,162131.0,,[]
SILVERM,2026-08-24 22:00,254901.0,254970.0,254513.0,254615.0,255184.44527209192,255470.5287864905,255470.5287864905,255184.44527209192,255470.5287864905,255470.5287864905,254615.0,48,254901.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 22:15,162729.0,162760.0,162300.0,162403.0,162828.48420758682,162663.50228925093,162663.50228925093,162828.48420758682,162663.50228925093,162663.50228925093,162403.0,49,162735.0,pending_short,,SHORT,162300.0,,"[""PENDING_ENTRY_CREATED:SHORT::""]"
SILVERM,2026-08-24 22:15,254682.0,254700.0,254152.0,254200.0,255004.08547134974,255470.5287864905,255470.5287864905,255004.08547134974,255470.5287864905,255470.5287864905,254200.0,49,254615.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 22:30,162394.0,162677.0,162203.0,162471.0,162821.2914545804,162663.50228925093,162663.50228925093,162821.2914545804,162663.50228925093,162663.50228925093,162471.0,50,162403.0,short_position,SHORT,,,162840.0,"[""ENTRY_EXECUTED:SHORT:162300.0:""]"
SILVERM,2026-08-24 22:30,254200.0,254554.0,253760.0,254450.0,255004.08547134974,255470.5287864905,255470.5287864905,255004.08547134974,255470.5287864905,255470.5287864905,254450.0,50,254200.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 22:45,162450.0,162533.0,161862.0,162050.0,162554.02312361545,162663.50228925093,162663.50228925093,162554.02312361545,162663.50228925093,162663.50228925093,162050.0,51,162471.0,short_position,SHORT,,,162840.0,[]
SILVERM,2026-08-24 22:45,254345.0,254689.0,253110.0,253260.0,254391.37429013065,255287.7853360747,255470.5287864905,254391.37429013065,255470.5287864905,255287.7853360747,253260.0,51,254450.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 23:00,162041.0,162174.0,162010.0,162043.0,162406.07752741346,162663.50228925093,162663.50228925093,162406.07752741346,162663.50228925093,162663.50228925093,162043.0,52,162050.0,short_position,SHORT,,,162840.0,[]
SILVERM,2026-08-24 23:00,253273.0,253373.0,252999.0,253016.0,253848.21472672885,255287.7853360747,255470.5287864905,253848.21472672885,255287.7853360747,255287.7853360747,253016.0,52,253260.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-24 23:15,162053.0,162063.0,161813.0,161911.0,162263.38613604556,162663.50228925093,162663.50228925093,162263.38613604556,162663.50228925093,162663.50228925093,161911.0,53,162043.0,short_position,SHORT,,,162840.0,[]
SILVERM,2026-08-24 23:15,253099.0,253099.0,252100.0,252599.0,253444.9861228438,255287.7853360747,255470.5287864905,253444.9861228438,255287.7853360747,255287.7853360747,252599.0,53,253016.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-25 09:00,161612.0,162272.0,161612.0,161966.0,162263.38613604556,162650.6467204946,162663.50228925093,162263.38613604556,162663.50228925093,162650.6467204946,161966.0,54,161911.0,short_position,SHORT,,,162840.0,[]
SILVERM,2026-08-25 09:00,252000.0,252650.0,251000.0,251359.0,252537.9032483679,254252.20845266967,255287.7853360747,252537.9032483679,255287.7853360747,254252.20845266967,251359.0,54,252599.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-25 09:15,161937.0,161940.0,161700.0,161742.0,162149.5074819718,162650.6467204946,162663.50228925093,162149.5074819718,162650.6467204946,162650.6467204946,161742.0,55,161966.0,short_position,SHORT,,,162840.0,[]
SILVERM,2026-08-25 09:15,251359.0,251468.0,251001.0,251366.0,252145.4657236622,254252.20845266967,255287.7853360747,252145.4657236622,254252.20845266967,254252.20845266967,251366.0,55,251359.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-25 09:30,161739.0,162050.0,161669.0,162013.0,162149.5074819718,162650.6467204946,162663.50228925093,162149.5074819718,162650.6467204946,162650.6467204946,162013.0,56,161742.0,short_position,SHORT,,,162840.0,[]
SILVERM,2026-08-25 09:30,251366.0,251800.0,251277.0,251798.0,252145.4657236622,254252.20845266967,255287.7853360747,252145.4657236622,254252.20845266967,254252.20845266967,251798.0,56,251366.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-25 09:45,162013.0,162013.0,161650.0,161700.0,162131.974995799,162394.12799929726,162650.6467204946,162131.974995799,162650.6467204946,162394.12799929726,161700.0,57,162013.0,short_position,SHORT,,,162840.0,[]
SILVERM,2026-08-25 09:45,251640.0,251743.0,251001.0,251051.0,251926.8039064961,252836.68218935851,254252.20845266967,251926.8039064961,254252.20845266967,252836.68218935851,251051.0,57,251798.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-25 10:00,161682.0,161800.0,161226.0,161360.0,161853.1677111306,162394.12799929726,162650.6467204946,161853.1677111306,162394.12799929726,162394.12799929726,161360.0,58,161700.0,short_position,SHORT,,,162840.0,[]
SILVERM,2026-08-25 10:00,251110.0,251111.0,250300.0,250485.0,251379.88615304988,252836.68218935851,254252.20845266967,251379.88615304988,252836.68218935851,252836.68218935851,250485.0,58,251051.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-25 10:15,161351.0,161450.0,161268.0,161408.0,161752.83625827348,162394.12799929726,162650.6467204946,161752.83625827348,162394.12799929726,162394.12799929726,161408.0,59,161360.0,short_position,SHORT,,,162840.0,[]
SILVERM,2026-08-25 10:15,250360.0,250700.0,250251.0,250700.0,251323.7844270071,252836.68218935851,254252.20845266967,251323.7844270071,252836.68218935851,252836.68218935851,250700.0,59,250485.0,short_position,SHORT,,,257350.0,[]
GOLDM,2026-08-25 10:30,161408.0,161950.0,161362.0,161866.0,161752.83625827348,162394.12799929726,162650.6467204946,161752.83625827348,162394.12799929726,162394.12799929726,161866.0,60,161408.0,short_position,SHORT,,,162840.0,[]
