instrument,bucket_start,open,high,low,close,live_fast15,live_h1,live_h1_prev,live_mid15,strat_prev_htf,strat_store_htf,strat_prev_close,bars_processed,prev_close,state,pos_side,pending_side,pending_trig,stop,stop_flt
SILVERM,2026-08-27 13:45,249100.0,249278.0,248836.0,249028.0,248805.23562320592,249411.2611200852,249411.2611200852,248805.23562320592,249411.2611200852,249411.2611200852,249028.0,194,249171.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 14:00,158143.0,158172.0,157728.0,157763.0,157934.08099412167,158702.7938332961,158702.7938332961,157934.08099412167,158702.7938332961,158702.7938332961,157763.0,195,158101.0,flat,,,,,[]
SILVERM,2026-08-27 14:00,248901.0,249028.0,248477.0,248525.0,248805.23562320592,249411.2611200852,249411.2611200852,248805.23562320592,249411.2611200852,249411.2611200852,248525.0,195,249028.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 14:15,157802.0,158146.0,157748.0,158009.0,157934.08099412167,158702.7938332961,158702.7938332961,157934.08099412167,158702.7938332961,158702.7938332961,158009.0,196,157763.0,flat,,,,,[]
SILVERM,2026-08-27 14:15,248531.0,249100.0,248521.0,248925.0,248805.23562320592,249411.2611200852,249411.2611200852,248805.23562320592,249411.2611200852,249411.2611200852,248925.0,196,248525.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 14:30,158040.0,158040.0,157751.0,157964.0,157934.08099412167,158702.7938332961,158702.7938332961,157934.08099412167,158702.7938332961,158702.7938332961,157964.0,197,158009.0,flat,,,,,[]
SILVERM,2026-08-27 14:30,248885.0,248977.0,248338.0,248690.0,248805.23562320592,249411.2611200852,249411.2611200852,248805.23562320592,249411.2611200852,249411.2611200852,248690.0,197,248925.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 14:45,157978.0,158100.0,157833.0,157922.0,157934.08099412167,158702.7938332961,158702.7938332961,157934.08099412167,158702.7938332961,158702.7938332961,157922.0,198,157964.0,flat,,,,,[]
SILVERM,2026-08-27 14:45,248623.0,248918.0,248623.0,248725.0,248805.23562320592,249411.2611200852,249411.2611200852,248805.23562320592,249411.2611200852,249411.2611200852,248725.0,198,248690.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 15:00,157959.0,158010.0,157524.0,157560.0,157934.08099412167,158702.7938332961,158702.7938332961,157934.08099412167,158702.7938332961,158702.7938332961,157560.0,199,157922.0,flat,,,,,[]
SILVERM,2026-08-27 15:00,248720.0,248804.0,248251.0,248470.0,248805.23562320592,249411.2611200852,249411.2611200852,248805.23562320592,249411.2611200852,249411.2611200852,248470.0,199,248725.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 15:15,157569.0,157771.0,157500.0,157500.0,157913.17396503512,158702.7938332961,158702.7938332961,157913.17396503512,158702.7938332961,158702.7938332961,157500.0,200,157560.0,flat,,,,,[]
SILVERM,2026-08-27 15:15,248495.0,248537.0,247850.0,247915.0,248638.24385400862,249411.2611200852,249411.2611200852,248638.24385400862,249411.2611200852,249411.2611200852,247915.0,200,248470.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 15:30,157480.0,157522.0,157000.0,157400.0,157821.12028810836,158702.7938332961,158702.7938332961,157821.12028810836,158702.7938332961,158702.7938332961,157400.0,201,157500.0,flat,,,,,[]
SILVERM,2026-08-27 15:30,247865.0,248287.0,247337.0,248154.0,248638.24385400862,249411.2611200852,249411.2611200852,248638.24385400862,249411.2611200852,249411.2611200852,248154.0,201,247915.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 15:45,157400.0,157450.0,157266.0,157300.0,157678.71817725667,158548.83126915683,158702.7938332961,157678.71817725667,158702.7938332961,158548.83126915683,157300.0,202,157400.0,flat,,,,,[]
SILVERM,2026-08-27 15:45,248170.0,248366.0,247925.0,248210.0,248638.24385400862,249411.2611200852,249411.2611200852,248638.24385400862,249411.2611200852,249411.2611200852,248210.0,202,248154.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 16:00,157300.0,157550.0,157101.0,157531.0,157678.71817725667,158548.83126915683,158702.7938332961,157678.71817725667,158548.83126915683,158548.83126915683,157531.0,203,157300.0,flat,,,,,[]
SILVERM,2026-08-27 16:00,248210.0,248708.0,247856.0,248579.0,248638.24385400862,249411.2611200852,249411.2611200852,248638.24385400862,249411.2611200852,249411.2611200852,248579.0,203,248210.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 16:15,157534.0,157534.0,157300.0,157455.0,157678.71817725667,158548.83126915683,158702.7938332961,157678.71817725667,158548.83126915683,158548.83126915683,157455.0,204,157531.0,flat,,,,,[]
SILVERM,2026-08-27 16:15,248579.0,248648.0,248211.0,248500.0,248638.24385400862,249411.2611200852,249411.2611200852,248638.24385400862,249411.2611200852,249411.2611200852,248500.0,204,248579.0,long_position,LONG,,,246300.0,[]
