datetime,open,high,low,close,volume
2026-08-07T09:00:00+0530,234458.0,236000.0,234030.0,234908.0,956
2026-08-07T10:00:00+0530,234908.0,235400.0,234868.0,235000.0,406
2026-08-07T11:00:00+0530,235000.0,237995.0,235000.0,237511.0,1369
2026-08-07T12:00:00+0530,237511.0,239482.0,237300.0,238528.0,1328
2026-08-07T13:00:00+0530,238528.0,240400.0,238499.0,239600.0,876
2026-08-07T14:00:00+0530,239604.0,240762.0,239604.0,240099.0,787
2026-08-07T15:00:00+0530,240099.0,241012.0,239940.0,239980.0,606
2026-08-07T16:00:00+0530,239980.0,240500.0,239183.0,239973.0,514
2026-08-07T17:00:00+0530,239973.0,240213.0,239061.0,239176.0,377
2026-08-07T18:00:00+0530,239176.0,242050.0,239176.0,240596.0,2426
2026-08-07T19:00:00+0530,240651.0,240990.0,238607.0,239613.0,957
2026-08-07T20:00:00+0530,239613.0,239613.0,238771.0,239160.0,448
2026-08-07T21:00:00+0530,239160.0,239414.0,238327.0,238825.0,462
2026-08-07T22:00:00+0530,238825.0,238855.0,237800.0,238584.0,566
2026-08-07T23:00:00+0530,238584.0,238989.0,238319.0,238870.0,368
2026-08-10T09:00:00+0530,238668.0,242000.0,238614.0,241192.0,1902
2026-08-10T10:00:00+0530,241192.0,241525.0,240883.0,240973.0,500
2026-08-10T11:00:00+0530,240973.0,242500.0,240850.0,242418.0,895
2026-08-10T12:00:00+0530,242418.0,242500.0,241750.0,242263.0,333
2026-08-10T13:00:00+0530,242263.0,242300.0,241593.0,242200.0,331
2026-08-10T14:00:00+0530,242200.0,242296.0,241300.0,241732.0,235
2026-08-10T15:00:00+0530,241732.0,241732.0,241110.0,241335.0,196
2026-08-10T16:00:00+0530,241335.0,241357.0,240025.0,241260.0,544
2026-08-10T17:00:00+0530,241260.0,241749.0,240500.0,240804.0,360
2026-08-10T18:00:00+0530,240804.0,241160.0,240297.0,240882.0,324
2026-08-10T19:00:00+0530,240882.0,242400.0,240101.0,241977.0,779
2026-08-10T20:00:00+0530,241977.0,242830.0,241872.0,242201.0,1027
2026-08-10T21:00:00+0530,242201.0,244029.0,242113.0,243860.0,1189
2026-08-10T22:00:00+0530,243860.0,243995.0,242926.0,243710.0,513
2026-08-10T23:00:00+0530,243710.0,243951.0,243537.0,243855.0,343
2026-08-11T09:00:00+0530,245500.0,247067.0,244499.0,246033.0,1644
2026-08-11T10:00:00+0530,246033.0,246256.0,243744.0,244022.0,910
2026-08-11T11:00:00+0530,244022.0,244456.0,242230.0,242441.0,1381
2026-08-11T12:00:00+0530,242441.0,242942.0,242062.0,242213.0,710
2026-08-11T13:00:00+0530,242213.0,243519.0,242178.0,243168.0,383
2026-08-11T14:00:00+0530,243168.0,243794.0,243001.0,243560.0,331
2026-08-11T15:00:00+0530,243560.0,244900.0,243465.0,244620.0,458
2026-08-11T16:00:00+0530,244620.0,245130.0,244115.0,244710.0,605
2026-08-11T17:00:00+0530,244710.0,244790.0,243646.0,243961.0,503
