strategy_id,trade_id,position_id,side,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,exit_reason,status,net_pnl,gross_pnl,entry_signal_id,exit_signal_id,entry_sig_persisted,entry_sig_side,entry_sig_ts,entry_sig_type,sl_is_new_signal,reversal_reuse_expected
gold_02,b0934754-9378-4f76-a925-7ba865341deb,,SHORT,2026-09-02T15:45:00+00:00,78006.31,2026-09-03T11:45:00+00:00,78004.61,1,long_reversal,CLOSED,-157.9100000000291,16.999999999970896,bf08862f-2b1e-4bfa-99a5-11ff34b06607,5a4c66cd-c5c0-4dc6-8d06-c290d1226880,True,SHORT,1788360300.0,entry,False,True
gold_01,94e2e434-3839-45a4-adb9-98662ce96f2f,,SHORT,2026-09-02T15:45:00+00:00,78006.31,2026-09-03T11:45:00+00:00,77999.83,1,long_reversal,CLOSED,-110.11000000004074,64.79999999995925,5c0bfc9a-fa37-43dd-b29e-45102502b20d,c99809c8-7027-4d96-bc45-11603387f4c4,True,SHORT,1788361500.0,entry,False,True
gold_02,f622ce76-cccf-429d-8d5a-cefad102367a,,LONG,2026-09-03T11:45:00+00:00,78004.61,2026-09-03T17:45:00+00:00,78010.48,1,short_reversal,CLOSED,-116.22000000004655,58.699999999953434,5a4c66cd-c5c0-4dc6-8d06-c290d1226880,e973c3e1-763d-4ed4-a950-882523e52a71,True,LONG,1788435000.5,exit,False,True
gold_01,0c93dcf2-9b65-429d-9978-7612f4bc0c24,,LONG,2026-09-03T11:55:00+00:00,78004.61,2026-09-03T12:05:00+00:00,77998.84,1,STOP_LOSS,CLOSED,-232.60000000004075,-57.700000000040745,c99809c8-7027-4d96-bc45-11603387f4c4,,True,LONG,1788435600.5,exit,False,False
gold_01,363c398d-bc07-4e90-a361-7de7a328379b,,LONG,2026-09-03T12:35:00+00:00,78006.37,2026-09-03T17:45:00+00:00,78012.8,1,short_reversal,CLOSED,-110.61999999992432,64.30000000007567,f52f92bc-f391-490c-a56d-781bbe2dee6e,0e086032-fb26-4531-9bef-df67fd7908b9,True,LONG,1788438300.0,entry,False,True
silver_02,94ed4a99-cc6b-4926-ace4-90f1274d7430,,LONG,2026-09-03T13:50:00+00:00,238674.41,2026-09-03T17:10:00+00:00,238690.24,1,short_reversal,CLOSED,-163.44000000006403,79.14999999993597,89887616-4030-4365-a152-453296ef4edb,a932c8fb-d462-40fb-99d5-a7aa28055aa7,True,LONG,1788442800.0,entry,False,True
silver_01,cc1bebec-c37d-46d5-bac6-d72971314f8c,,LONG,2026-09-03T14:00:00+00:00,238911.98,2026-09-03T17:15:00+00:00,238718.53,1,short_reversal,CLOSED,-1209.9000000000583,-967.2500000000582,445d8ca9-57a9-4201-b509-c2a9b6504938,f2e0909b-ef78-4d7e-bc45-3a1bdce71a2c,True,LONG,1788443100.5,exit,False,True
silver_02,f3019bba-8f53-4f6c-bc6c-72ab930262ee,,SHORT,2026-09-03T17:10:00+00:00,238690.24,2026-09-04T03:30:00+00:00,238909.97,1,STOP_LOSS,CLOSED,-1341.2800000000525,-1098.6500000000524,a932c8fb-d462-40fb-99d5-a7aa28055aa7,,True,SHORT,1788455100.5,exit,False,False
silver_01,077089eb-bac7-4de8-92cf-e00a17e008a2,,SHORT,2026-09-03T17:15:00+00:00,238718.53,2026-09-04T03:30:00+00:00,238909.97,1,STOP_LOSS,CLOSED,-1199.8500000000117,-957.2000000000116,f2e0909b-ef78-4d7e-bc45-3a1bdce71a2c,,True,SHORT,1788454800.5,exit,False,False
gold_02,8f233f2d-a7de-4efc-ac43-01e1ce27f23d,,SHORT,2026-09-03T17:45:00+00:00,78010.48,2026-09-04T08:30:00+00:00,77984.53,1,long_reversal,CLOSED,84.5899999999709,259.4999999999709,e973c3e1-763d-4ed4-a950-882523e52a71,82eb0725-b87a-43a8-9bc5-ba2ca177092e,True,SHORT,1788456600.5,exit,False,True
gold_01,67562394-7ed3-4714-aa98-dbd294a0181d,,SHORT,2026-09-03T17:50:00+00:00,78016.08,2026-09-04T08:20:00+00:00,77992.91,1,long_reversal,CLOSED,56.77999999998255,231.69999999998254,0e086032-fb26-4531-9bef-df67fd7908b9,10912713-4ec2-4238-8579-79c53e3c0c92,True,SHORT,1788457200.5,exit,False,True
silver_01,70bc34ac-c04e-465a-a06d-4ac0c017d1c9,,SHORT,2026-09-04T08:15:00+00:00,238648.15,2026-09-04T13:00:00+00:00,238786.03,1,long_reversal,CLOSED,-931.9800000000233,-689.4000000000233,56fb6004-a257-41fd-9072-38e5dd75295d,537343e7-405b-45e5-a812-782dbce4366e,True,SHORT,1788507900.0,entry,False,True
silver_02,3c6875b2-a20b-43b1-a019-36ab16168286,,SHORT,2026-09-04T08:15:00+00:00,238648.15,2026-09-04T13:00:00+00:00,238729.64,1,long_reversal,CLOSED,-650.0200000000989,-407.45000000009895,0d5ab9b4-555b-4716-8611-3139b4086d66,48d29846-088f-4ef4-b71c-bcd74487ffdc,True,SHORT,1788508800.0,entry,False,True
gold_01,d07a87eb-e211-4a3e-92a4-10cfbb7d3e84,,LONG,2026-09-04T08:20:00+00:00,77992.91,2026-09-04T16:20:00+00:00,78003.58,1,short_reversal,CLOSED,-68.20000000001747,106.69999999998254,10912713-4ec2-4238-8579-79c53e3c0c92,5c68647a-b073-40d3-9b29-67a5eed77c0c,True,LONG,1788509700.5,exit,False,True
gold_02,292dd011-7df8-4f34-914b-00a63a1b8507,,LONG,2026-09-04T09:00:00+00:00,77999.31,2026-09-04T16:30:00+00:00,78006.43,1,short_reversal,CLOSED,-103.71000000004656,71.19999999995343,82eb0725-b87a-43a8-9bc5-ba2ca177092e,257cc5a2-f5f6-4785-a8b3-fa20fbb0b1f5,True,LONG,1788509700.5,exit,False,True
silver_01,978d75e7-b574-4e87-b476-e5efea926857,,LONG,2026-09-04T13:00:00+00:00,238786.03,0.0,0.0,1,,OPEN,0.0,0.0,537343e7-405b-45e5-a812-782dbce4366e,,True,LONG,1788525900.5,exit,False,False
silver_02,0e284ab9-39f0-4592-a688-b564afa58601,,LONG,2026-09-04T13:10:00+00:00,238786.03,2026-09-04T13:20:00+00:00,238689.81,1,STOP_LOSS,CLOSED,-723.7100000000058,-481.1000000000058,04cf8695-2df3-45b1-8097-635ba486fbc3,,True,LONG,1788526800.0,entry,False,False
silver_02,033cd15a-a648-4361-bca7-0352b6582b98,,LONG,2026-09-04T13:40:00+00:00,238765.16,2026-09-04T14:10:00+00:00,238705.56,1,STOP_LOSS,CLOSED,-540.6100000000291,-298.0000000000291,bfb4b4c9-5170-483c-96cb-8a291a495cde,,True,LONG,1788528600.0,entry,False,False
silver_02,98a153bf-1121-483b-b9e1-d8a6fc6900fc,,LONG,2026-09-04T14:25:00+00:00,238821.12,0.0,0.0,1,,OPEN,0.0,0.0,973f5cb1-da5b-4d18-ac96-5d9e06bdde03,,True,LONG,1788531300.0,entry,False,False
gold_01,766d00a5-dfb7-42bc-aea6-84403219020a,,SHORT,2026-09-04T16:20:00+00:00,78003.58,0.0,0.0,1,,OPEN,0.0,0.0,5c68647a-b073-40d3-9b29-67a5eed77c0c,,True,SHORT,1788538500.5,exit,False,False
gold_02,ee4c3c81-65c2-4f89-9d14-68165e66a339,,SHORT,2026-09-04T17:15:00+00:00,78001.23,2026-09-04T17:45:00+00:00,78004.12,1,STOP_LOSS,CLOSED,-203.79999999999418,-28.89999999999418,17c9bd32-0ffa-4de3-9b4b-61994f951541,,True,SHORT,1788540300.0,entry,False,False
